DEGREE_PROGRAMME,COMPANY_NAME, LOCATION, CONTACT
information technology ,Dedan kimathi university of  technology ,Nyeri,info@dkut.ac.ke
mathematics and computer science ,Huduma Center kerugoya ,KERUGOYA ,hudumakenyakirinyaga@gmail.com
Financial Engineering ,County Government of Kirinyaga ,Kutus ,kirinyagacounty2013@gmail.com 
information technology ,African Airlines building (AFRAA BUILDING),"South C, Nairobi ",info@optimaxgroup.co.ke
Software Engineering,Teach2Give,KUTUS,info@teach2give
Computer Science,GITHONGO TEA FACTORY,GITHONGO MERU,info@githongo.ktdateas.com
Software Engineering,Rift Valley Training Institute,Nakuru,principal@rvist.ac.ke
Computer Science,Thika Technical Training Institute,Thika,info@thikatechnical.ac.ke
Software Engineering,Techsak Technologies,Ruiru Bypass ,samwel2030@gmail.com
Software Engineering ,kijana poa Org.,Kajiado,kijanapoaenterprize@gmail.com
Mathematics and Computer Science,IMARISHA SACCO LIMITED BOMET,Bomet,Vincent.kirui@imarishasacco.co.ke
Mathematics and Computer Science ,KERUGOYA COUNTY REFERRAL HOSPITAL,Kerugoya,kerugoyahospital@gmail.com
information technology,Teach2Give,Nyeri,info@teach2give.com
Financial Engineering,AMICA SAVINGS AND CREDIT LIMITED HQ,MURANG'A ,hello@amicacs.co.ke
mathematics and computer science ,Chuka hospital ,chuka,medsuptchuka@gmail.com
Software Engineering,AlphaGrid Technologies,Eldoret,info.alphagridtechnologies@gmail.com
Software Engineering,AlphaGrid Technologies,Eldoret,info.alphagridtechnologies@gmail.com
Software Engineering,Techance Limited,"Ongata Rongai,Kajiado",info@techance.co.ke
Software Engineering,EBEREGE TEA FACTORY,KISII TOWN,info@eberege.ktdateas.com
information technology ,OLENGURUONE TEA FACTORY LIMITED,"Kiptagich ,Nakuru",info@olenguruone.ktdateas.com
Mathematics and Computer Science,RAM HOSPITAL,JOGOO ROAD,hospitalramkisii@gmail.com
information technology ,AGRO-CHEMICAL AND FOOD LIMITED COMPANY,MUHORONI-KISUMU,admin@acfc.co.ke
Software Engineering ,MARAGUA LEVEL IV HOSPITAL ,Murang'a ,maraguahospital@gmail.com
Software Engineering,Starshine Group LTD,ELDORET,starshinegroupltd@gmail.com
Software Engineering ,RIFT VALLEY INSTITUTE OF SCIENCE AND TECHNOLOGY,Nakuru,principal@rvist.ac.ke
Bsc in Mathematics and computer science,Catherine Gathee,Embu,info@embu.go.ke
Financial Engineering,"KCB, HQ ","Nairobi, KENCOM Hse.",contactcenter@kcbgroup.com
Software Engineering,Xtranet Communications,Nairobi,dancan.okeyo@xtranet.co.ke
Software Engineering ,Kirinyaga County Offices ,Kutus,kirinyagacounty2013@gmail.com
Software Engineering,Kilifi Referal Hospital,Kilifi,kilifimedicalcomplex@gmail.com
Computer Science ,Ministry of Lands Nairobi HQ,Nairobi ,Psland@ardhi.go.ke
Software Engineering ,KTC,Kitale,kitaletechnical19@gmail.com
Software Engineering,KABIYET ICT CENTRE,"KABIYET,NANDI",jeffcom100@gmail.com
Computer Science,EBEREGE TEA FACTORY,KISII TOWN,info@eberege.ktdateas.com
Mathematics and Computer Science ,Kenya Orient,Nairobi ,info@korient.co.ke
information technology ,NAIROBI CITY WATER AND SEWERAGE COMPANY LTD,NAIROBI,infor@nairobiwater.co.ke
information technology ,NATIONAL HOSPITAL INSURANCE FUND,Mwea(Ngurubani),mwea
information technology ,Embu County offices ,EMBU ,info@embu.go.ke
Software Engineering ,Deities technologies ,Nairobi ,John.mbuthia@deitiestech.com
Computer Science,Power Learn Project,"Lower Kabete, Nairobi",info@powerlearnproject.org
Mathematics and Computer Science,"HUDUMA, KERUGOYA ",KERUGOYA ,hudumakenyakirinyaga@gmail.com
Software Engineering ,Techance Limited,"Ongata Rongai,Kajiado",info@techance.co.ke
Software Enginnering,Godan Programme for Capacity Development,"Nairobi, Kenyatta University",comms@godan.info
information technology,Suba-Sub county hospital.,Homabay,Subadhmt@gmail.com
Mathematics and Computer Science,NGANDORI WATER & SANITITATION COMPANY LTD,Embu,ngandoriwater@yahoo.com
Software Engineering ,County Government of Migori ,Migori ,migoricountygov@gmail.com
Software Engineering,TEACH2GIVE,KUTUS,info@teach2give.com
